question_id,source,labels,topic,question,answer,explanation
1a,apdvs,"cs, lq",carotid disorders,"A 75-year-old male smoke presents with recent visual changes to his right eye that occurred yesterday. The patient reports a shading of his visual field that resulted in momentary monocular blindness followed by return to normal vision. He has a carotid duplex showing >50% diameter reduction to his right internal carotid artery and >80% stenosis to his left internal carotid artery. What treatment should be offered to this patient?
A. Emergent DC cardioversion to treat any underlying arrythmia.

B. Left carotid endarterectomy with shunt placement.

C. Left carotid TCAR.

D. Right carotid endarterectomy.

E. Placement on Apixaban and measurement of PF4 with medical management.",D,Right carotid endarterectomy. The patient has evidence of amaurosis fugax with temporary monocular blindness as a sign of symptomatic right internal carotid artery disease. His left carotid artery is in a high-grade range and therefore is lower risk of stroke than the contralateral symptomatic lesion. There should be no immediate surgical treatment of the asymptomatic left carotid lesion. There is no evidence that the patient has an underlying arrythmia that needs cardioversion and medical management with Apixaban and PF4 levels are unrelated to this patient 's current pathology.
1b,apdvs,"cs, sq",carotid disorders,"A 75-year-old man had temporary vision loss in his right eye yesterday. Imaging shows moderate narrowing of his right internal carotid artery and severe narrowing on the left.  What treatment should be offered to this patient?

A. Emergent DC cardioversion to treat any underlying arrythmia.

B. Left carotid endarterectomy with shunt placement.

C. Left carotid TCAR.

D. Right carotid endarterectomy.

E. Placement on Apixaban and measurement of PF4 with medical management.",D,Right carotid endarterectomy. The patient has evidence of amaurosis fugax with temporary monocular blindness as a sign of symptomatic right internal carotid artery disease. His left carotid artery is in a high-grade range and therefore is lower risk of stroke than the contralateral symptomatic lesion. There should be no immediate surgical treatment of the asymptomatic left carotid lesion. There is no evidence that the patient has an underlying arrythmia that needs cardioversion and medical management with Apixaban and PF4 levels are unrelated to this patient 's current pathology.
2a,apdvs,"gk, lq",carotid disorders," What is the first muscle layer encountered in a carotid endarterectomy (i.e. the first muscle deep to skin)?
A. Sternocleidomastoid

B. Digastric

C. Platysma

D. Scalene",C,"The platysma is the most superficial muscle in the neck. It covers most of the anterior and lateral aspect of the neck. It is the first muscle layer encountered in the neck during a CEA. It will be bisected and repaired upon neck closure. While the sternocleidomastoid is superficial, it is deep to the platysma. The sternocleidomastoid is an important landmark as it forms the anterolateral boundary of the carotid triangle. You will dissect along its medial border and retract it laterally in order to access the carotid sheath.The digastric muscle is a small, ""two-bellied"" muscle located under the mandible. The posterior belly forms the superior border of the carotid triangle. It is often visualized in patients with high carotid bifurcations.The scalene muscles are deep to the sternocleidomastoid muscles and lateral to the cervical spine. They are not manipulated in a CEA."
2b,apdvs,"gk, sq",carotid disorders,"During a carotid endarterectomy, which neck muscle is the first one encountered (just below the skin)?
A. Sternocleidomastoid

B. Digastric

C. Platysma

D. Scalene",C,"The platysma is the most superficial muscle in the neck. It covers most of the anterior and lateral aspect of the neck. It is the first muscle layer encountered in the neck during a CEA. It will be bisected and repaired upon neck closure. While the sternocleidomastoid is superficial, it is deep to the platysma. The sternocleidomastoid is an important landmark as it forms the anterolateral boundary of the carotid triangle. You will dissect along its medial border and retract it laterally in order to access the carotid sheath.The digastric muscle is a small, ""two-bellied"" muscle located under the mandible. The posterior belly forms the superior border of the carotid triangle. It is often visualized in patients with high carotid bifurcations.The scalene muscles are deep to the sternocleidomastoid muscles and lateral to the cervical spine. They are not manipulated in a CEA."
3a,apdvs,"gk, lq",lower extremity arterial disease," A 65-year old male with a history of hypertension, hyperlipidemia, and tobacco abuse presents to the vascular surgery clinic with complaints of pain in his legs. Patient states that the pain is crampy in quality, mostly in his calf muscles, it starts after he walks 4 blocks, and is worse on the right as compared to the left. He notices that when he stops walking, the pain resolves. This pain is keeping him from being able to participate in social events and spend quality time with his family.

What is the name of the symptom the patient is experiencing?
A. Neuropathy

B. Claudication

C. Ischemic rest pain

D. Bilateral sciatica

E. Normal symptoms",B,"Claudication is defined as reproducible pain or cramping of the lower extremities that occurs with ambulation and significantly improves or resolves at rest. Claudication can occur in any muscle group distal to the area of arterial stenosis and/or occlusion. As such, the calf muscles are the most common anatomic location to experience pain as they are distal in the lower extremity. As the patient does not report pain at rest, they do not have ischemic rest pain. Neuropathic pain or bilateral sciatica and claudication can be confused. Neuropathic pain is shocking in quality whereas claudication is describes as a cramp-type pain. Furthermore, claudication is absent at rest, triggered by exercise, and relieved by a return to rest. This pattern helps distinguish claudication from neuropathic pain. This patient also does not have normal pathology, as one should not have pain on ambulation and needs to be further evaluated."
3aa,apdvs,"gk, sq",lower extremity arterial disease,"A 65-year-old man with high blood pressure, high cholesterol, and a smoking history reports calf pain after walking about 4 blocks. The pain is described as cramping, occuring only when walking, and goes away with rest. What is the name of this symptom?
A. Neuropathy

B. Claudication

C. Ischemic rest pain

D. Bilateral sciatica",B,"Claudication is defined as reproducible pain or cramping of the lower extremities that occurs with ambulation and significantly improves or resolves at rest. Claudication can occur in any muscle group distal to the area of arterial stenosis and/or occlusion. As such, the calf muscles are the most common anatomic location to experience pain as they are distal in the lower extremity. As the patient does not report pain at rest, they do not have ischemic rest pain. Neuropathic pain or bilateral sciatica and claudication can be confused. Neuropathic pain is shocking in quality whereas claudication is describes as a cramp-type pain. Furthermore, claudication is absent at rest, triggered by exercise, and relieved by a return to rest. This pattern helps distinguish claudication from neuropathic pain. This patient also does not have normal pathology, as one should not have pain on ambulation and needs to be further evaluated."
3b,apdvs,"cs, fu, lq",lower extremity arterial disease," A 65-year old male with a history of hypertension, hyperlipidemia, and tobacco abuse presents to the vascular surgery clinic with complaints of pain in his legs. Patient states that the pain is crampy in quality, mostly in his calf muscles, it starts after he walks 4 blocks, and is worse on the right as compared to the left. He notices that when he stops walking, the pain resolves. This pain is keeping him from being able to participate in social events and spend quality time with his family. What would be the first step in confirming the diagnosis for this patient?
A. CT Angiography (CTA)

B. Doppler probe

C. Duplex Ultrasound

D. Angiogram

E. Ankle-Brachial Index and Pulse Volume Recording (ABI/PVR)",E,"Ankle-Brachial Index and Pulse Volume Recording (ABI/PVR) is a non-invasive method that measures the ratio of blood pressure in the lower legs to the blood pressure in the arms. Abnormal ABIs have been shown to have high specificity with identifying PAD. Patients who have claudication usually have ABI ranges from 0.5 to 0.9. Pulse volume recordings (PVR) use pressure cuffs to record the shape of a pulse. The type of waveform provides important information about the characteristics of blood flow. Waveforms can be used to diagnose and monitor arterial diseases, assess the severity of stenosis, and determine the effectiveness of treatment interventions. This patient likely has claudication based on the history and symptoms. The first non-invasive testing to confirm the diagnosis would be ABI/PVR. While a CTA would provide helful information with regards to arterial anatomy and the extend of calcification, it cannot provide the physiologic information that one would obtains an ABI/PVR. Furthermore, CTA requires contrast and radiation exposure. While used in measuring an ABI, a Doppler probe is not nearly as sensitive in identifying PAD and does not provide data helpful in creating a management plan. A Duplex Ultrasound would provide physiologic information as to the burden of disease. However, it is highly operator dependent and requires more resources. It may be considered as a second line investigation. While an angiogram is the gold-standard, it is an invasive technique that requires the use of contrast. As such, it is not a first line investigation."
3ba,apdvs,"cs, sq",lower extremity arterial disease,"A 65-year-old man with cramping calf pain after walking short distances that resolves with rest is suspected to have peripheral artery disease (PAD). What is the best initial test to confirm this diagnosis?
A. CT Angiography (CTA)

B. Doppler probe

C. Duplex Ultrasound

D. Angiogram

E. Ankle-Brachial Index and Pulse Volume Recording (ABI/PVR)",E,"Ankle-Brachial Index and Pulse Volume Recording (ABI/PVR) is a non-invasive method that measures the ratio of blood pressure in the lower legs to the blood pressure in the arms. Abnormal ABIs have been shown to have high specificity with identifying PAD. Patients who have claudication usually have ABI ranges from 0.5 to 0.9. Pulse volume recordings (PVR) use pressure cuffs to record the shape of a pulse. The type of waveform provides important information about the characteristics of blood flow. Waveforms can be used to diagnose and monitor arterial diseases, assess the severity of stenosis, and determine the effectiveness of treatment interventions. This patient likely has claudication based on the history and symptoms. The first non-invasive testing to confirm the diagnosis would be ABI/PVR. While a CTA would provide helful information with regards to arterial anatomy and the extend of calcification, it cannot provide the physiologic information that one would obtains an ABI/PVR. Furthermore, CTA requires contrast and radiation exposure. While used in measuring an ABI, a Doppler probe is not nearly as sensitive in identifying PAD and does not provide data helpful in creating a management plan. A Duplex Ultrasound would provide physiologic information as to the burden of disease. However, it is highly operator dependent and requires more resources. It may be considered as a second line investigation. While an angiogram is the gold-standard, it is an invasive technique that requires the use of contrast. As such, it is not a first line investigation."
3c,apdvs,"cs, fu, lq",lower extremity arterial disease,"A 65-year old male with a history of hypertension, hyperlipidemia, and tobacco abuse presents to the vascular surgery clinic with complaints of pain in his legs. Patient states that the pain is crampy in quality, mostly in his calf muscles, it starts after he walks 4 blocks, and is worse on the right as compared to the left. He notices that when he stops walking, the pain resolves. This pain is keeping him from being able to participate in social events and spend quality time with his family. What would be the first step in treating this patient 's symptoms?
A. Angiogram to identify targets for open surgical bypass.

B. Angiogram with angioplasty/stent of any occluded vessels.

C. Prescribe Cilostazol.

D. Ensure medication optimization for his hypertension and hyperlipidemia, smoking cessation counseling, and exercise regimen.

E. No treatments at this time, continue to monitor and come back to clinic in 3 months.",D,"Ensure medication optimization for his hypertension and hyperlipidemia, smoking cessation counseling, and exercise regimen. The mainstay of treatment for claudication is conservative management, including medical optimization and lifestyle modification. The patient has hypertension and hyperlipidemia. He should be on appropriate antihypertensive to control the blood pressure. With regard to medical optimization, it is recommended that patients start on antiplatelet therapy (Aspirin 81 mg daily) and a high dose statin. Lifestyle modifications include smoking cessation, exercise training to develop collateral vessels, and diet modification to lower cholesterol intake. An appropriate exercise regimen is defined by at least 30 minutes of supervised ambulation/exercise at least 3 times per week. Patients should be followed closely with yearly ABIs by both Primary Care Physicians (PCPs) and Vascular Surgeons for progression of disease. While an angiogram allows for simultaneous diagnosis and treatment of PAD, it is an invasive technique that requires the use of contrast. Angiogram may be considered if conservative management fails. Cilostazol is an antiplatelet that has been shown to have beneficial effects for patients wtih intermittent claudication, however, it is not a first-line medication. Lastly, while follow-up is important in the management of PAD, conservative management should be initiated as soon as the diagnosis of PAD is made."
3ca,apdvs,"cs, sq",lower extremity arterial disease,"A 65-year-old man with high blood pressure, high cholesterol, and a history of smoking has calf pain while walking that goes away with rest. Ankle-Brachial Index confirms mild peripheral artery disease. What is the first step in treatment?
A. Angiogram to identify targets for open surgical bypass.

B. Angiogram with angioplasty/stent of any occluded vessels.

C. Prescribe Cilostazol.

D. Ensure medication optimization for his hypertension and hyperlipidemia, smoking cessation counseling, and exercise regimen.

E. No treatments at this time, continue to monitor and come back to clinic in 3 months.",D,"Ensure medication optimization for his hypertension and hyperlipidemia, smoking cessation counseling, and exercise regimen. The mainstay of treatment for claudication is conservative management, including medical optimization and lifestyle modification. The patient has hypertension and hyperlipidemia. He should be on appropriate antihypertensive to control the blood pressure. With regard to medical optimization, it is recommended that patients start on antiplatelet therapy (Aspirin 81 mg daily) and a high dose statin. Lifestyle modifications include smoking cessation, exercise training to develop collateral vessels, and diet modification to lower cholesterol intake. An appropriate exercise regimen is defined by at least 30 minutes of supervised ambulation/exercise at least 3 times per week. Patients should be followed closely with yearly ABIs by both Primary Care Physicians (PCPs) and Vascular Surgeons for progression of disease. While an angiogram allows for simultaneous diagnosis and treatment of PAD, it is an invasive technique that requires the use of contrast. Angiogram may be considered if conservative management fails. Cilostazol is an antiplatelet that has been shown to have beneficial effects for patients wtih intermittent claudication, however, it is not a first-line medication. Lastly, while follow-up is important in the management of PAD, conservative management should be initiated as soon as the diagnosis of PAD is made."
