,Model,Train,Question ID,Correct,Source,Topic,Labels,Case Study,Test Question,Num Choices,Num Correct,APDVS,CC1
0,microsoft/Phi-4-mini-instruct,RAG_500,56.1,0,case_studies,venuous disease,None,1,0,5,1,0,1
1,microsoft/Phi-4-mini-instruct,RAG_500,56.5,0,case_studies,venuous disease,None,0,0,5,1,0,1
2,microsoft/Phi-4-mini-instruct,RAG_500,42,0,racs,other,None,0,0,4,3,0,0
3,microsoft/Phi-4-mini-instruct,RAG_500,65,0,racs,aortic disorders,None,0,0,4,3,0,0
4,microsoft/Phi-4-mini-instruct,RAG_500,46.11,1,case_studies,venuous disease,None,0,0,5,1,0,1
5,microsoft/Phi-4-mini-instruct,RAG_500,27.2,1,case_studies,other,None,0,1,4,1,0,1
6,microsoft/Phi-4-mini-instruct,RAG_500,24.3,0,case_studies,lower extremity arterial disease,None,0,0,5,5,0,0
7,microsoft/Phi-4-mini-instruct,RAG_500,45.7,1,case_studies,lower extremity arterial disease,None,0,0,6,4,0,0
8,microsoft/Phi-4-mini-instruct,RAG_500,26.3,0,case_studies,aortic disorders,None,0,0,5,3,0,0
9,microsoft/Phi-4-mini-instruct,RAG_500,18,1,racs,other,None,0,0,4,2,0,0
10,microsoft/Phi-4-mini-instruct,RAG_500,21.3,0,case_studies,lower extremity arterial disease,None,1,0,5,1,0,1
11,microsoft/Phi-4-mini-instruct,RAG_500,56.2,1,case_studies,venuous disease,None,1,0,5,1,0,1
12,microsoft/Phi-4-mini-instruct,RAG_500,41.6,0,case_studies,aortic disorders,None,1,0,6,4,0,0
13,microsoft/Phi-4-mini-instruct,RAG_500,17.1,0,case_studies,lower extremity arterial disease,None,1,0,5,4,0,0
14,microsoft/Phi-4-mini-instruct,RAG_500,428,1,case_studies,lower extremity arterial disease,None,0,0,2,1,0,1
15,microsoft/Phi-4-mini-instruct,RAG_500,374,1,apdvs,aortic disorders,None,1,0,5,1,1,1
16,microsoft/Phi-4-mini-instruct,RAG_500,27.9,1,case_studies,lower extremity arterial disease,None,1,0,3,1,0,1
17,microsoft/Phi-4-mini-instruct,RAG_500,53.2,1,case_studies,venuous disease,None,0,0,4,1,0,1
18,microsoft/Phi-4-mini-instruct,RAG_500,33.4,1,case_studies,venuous disease,None,0,1,4,2,0,0
19,microsoft/Phi-4-mini-instruct,RAG_500,24.2,0,case_studies,lower extremity arterial disease,None,0,1,5,5,0,0
20,microsoft/Phi-4-mini-instruct,RAG_500,18.9,0,case_studies,aortic disorders,None,1,0,5,1,0,1
21,microsoft/Phi-4-mini-instruct,RAG_500,436,0,case_studies,aortic disorders,None,1,1,5,1,0,1
22,microsoft/Phi-4-mini-instruct,RAG_500,53.1,1,case_studies,venuous disease,None,1,0,5,1,0,1
23,microsoft/Phi-4-mini-instruct,RAG_500,41,0,racs,other,None,0,0,4,2,0,0
24,microsoft/Phi-4-mini-instruct,RAG_500,26.1,0,case_studies,aortic disorders,None,1,0,6,1,0,1
25,microsoft/Phi-4-mini-instruct,RAG_500,32.7,0,case_studies,aortic disorders,None,0,0,5,1,0,1
26,microsoft/Phi-4-mini-instruct,RAG_500,1a,1,apdvs,carotid disorders, lq,1,0,5,1,1,1
27,microsoft/Phi-4-mini-instruct,RAG_500,52.5,0,case_studies,venuous disease,None,1,0,5,2,0,0
28,microsoft/Phi-4-mini-instruct,RAG_500,38.7,1,case_studies,other,None,0,0,11,1,0,1
29,microsoft/Phi-4-mini-instruct,RAG_500,37.1,0,case_studies,aortic disorders,None,1,0,5,1,0,1
30,microsoft/Phi-4-mini-instruct,RAG_500,32.6,0,case_studies,aortic disorders,None,0,0,5,1,0,1
31,microsoft/Phi-4-mini-instruct,RAG_500,53.5,0,case_studies,venuous disease,None,1,1,4,1,0,1
32,microsoft/Phi-4-mini-instruct,RAG_500,30.2,0,case_studies,lower extremity arterial disease,None,1,0,5,3,0,0
33,microsoft/Phi-4-mini-instruct,RAG_500,54.3,0,case_studies,venuous disease,None,1,0,5,1,0,1
34,microsoft/Phi-4-mini-instruct,RAG_500,23.2,0,case_studies,lower extremity arterial disease,None,1,1,5,5,0,0
35,microsoft/Phi-4-mini-instruct,RAG_500,77,1,prep,lower extremity arterial disease,None,1,0,4,1,0,1
36,microsoft/Phi-4-mini-instruct,RAG_500,52.3,0,case_studies,venuous disease,None,0,0,5,3,0,0
37,microsoft/Phi-4-mini-instruct,RAG_500,441,0,case_studies,endovascular surgery,None,0,0,4,2,0,0
38,microsoft/Phi-4-mini-instruct,RAG_500,7b,1,apdvs,lower extremity arterial disease, sq,1,0,4,1,1,1
39,microsoft/Phi-4-mini-instruct,RAG_500,34.1,1,case_studies,carotid disorders,None,1,0,5,1,0,1
40,microsoft/Phi-4-mini-instruct,RAG_500,49.7,0,case_studies,venuous disease,None,0,0,4,2,0,0
41,microsoft/Phi-4-mini-instruct,RAG_500,46.2,1,case_studies,venuous disease,None,1,0,4,1,0,1
42,microsoft/Phi-4-mini-instruct,RAG_500,43.5,1,case_studies,venuous disease,None,1,0,5,1,0,1
43,microsoft/Phi-4-mini-instruct,RAG_500,397,1,apdvs,lower extremity arterial disease,None,0,0,5,1,1,1
44,microsoft/Phi-4-mini-instruct,RAG_500,375,1,apdvs,aortic disorders,None,1,0,5,1,1,1
45,microsoft/Phi-4-mini-instruct,RAG_500,376,1,apdvs,aortic disorders,None,0,0,5,1,1,1
46,microsoft/Phi-4-mini-instruct,RAG_500,31.1,0,case_studies,aortic disorders,None,1,0,4,2,0,0
47,microsoft/Phi-4-mini-instruct,RAG_500,27.4,1,case_studies,lower extremity arterial disease,None,0,1,4,3,0,0
48,microsoft/Phi-4-mini-instruct,RAG_500,43.7,0,case_studies,venuous disease,None,1,0,5,1,0,1
49,microsoft/Phi-4-mini-instruct,RAG_500,50.6,1,case_studies,carotid disorders,None,0,0,5,1,0,1
50,microsoft/Phi-4-mini-instruct,RAG_500,411,0,case_studies,aortic disorders,None,0,0,4,2,0,0
51,microsoft/Phi-4-mini-instruct,RAG_500,58,0,racs,venuous disease,None,0,0,4,4,0,0
52,microsoft/Phi-4-mini-instruct,RAG_500,15.8,0,case_studies,lower extremity arterial disease,None,1,0,5,1,0,1
53,microsoft/Phi-4-mini-instruct,RAG_500,43.1,1,case_studies,aortic disorders,None,1,1,5,1,0,1
54,microsoft/Phi-4-mini-instruct,RAG_500,51.1,1,case_studies,venuous disease,None,1,0,5,1,0,1
55,microsoft/Phi-4-mini-instruct,RAG_500,44.5,0,case_studies,lower extremity arterial disease,None,0,0,4,4,0,0
56,microsoft/Phi-4-mini-instruct,RAG_500,3a,1,apdvs,lower extremity arterial disease, lq,0,0,5,1,1,1
57,microsoft/Phi-4-mini-instruct,RAG_500,20.1,0,case_studies,lower extremity arterial disease,None,1,0,4,1,0,1
58,microsoft/Phi-4-mini-instruct,RAG_500,37.4,0,case_studies,aortic disorders,None,0,0,5,4,0,0
59,microsoft/Phi-4-mini-instruct,RAG_500,3ca,1,apdvs,lower extremity arterial disease, sq,1,0,5,1,1,1
60,microsoft/Phi-4-mini-instruct,RAG_500,43,1,racs,other,None,0,0,4,3,0,0
61,microsoft/Phi-4-mini-instruct,RAG_500,11a,1,apdvs,aortic disorders, lq,1,0,5,1,1,1
62,microsoft/Phi-4-mini-instruct,RAG_500,437,0,case_studies,aortic disorders,None,1,1,4,4,0,0
63,microsoft/Phi-4-mini-instruct,RAG_500,18.5,0,case_studies,lower extremity arterial disease,None,1,0,5,2,0,0
64,microsoft/Phi-4-mini-instruct,RAG_500,26.7,0,case_studies,venuous disease,None,0,0,6,1,0,1
65,microsoft/Phi-4-mini-instruct,RAG_500,20.7,1,case_studies,lower extremity arterial disease,None,0,0,4,1,0,1
66,microsoft/Phi-4-mini-instruct,RAG_500,39.3,0,case_studies,venuous disease,None,1,0,6,2,0,0
67,microsoft/Phi-4-mini-instruct,RAG_500,408,1,case_studies,aortic disorders,None,0,0,4,1,0,1
68,microsoft/Phi-4-mini-instruct,RAG_500,15.2,0,case_studies,lower extremity arterial disease,None,0,0,5,2,0,0
69,microsoft/Phi-4-mini-instruct,RAG_500,42.1,1,case_studies,aortic disorders,None,0,0,4,1,0,1
70,microsoft/Phi-4-mini-instruct,RAG_500,75,0,prep,other,None,1,0,4,1,0,1
71,microsoft/Phi-4-mini-instruct,RAG_500,57,0,racs,other,None,0,0,4,3,0,0
72,microsoft/Phi-4-mini-instruct,RAG_500,57.4,1,case_studies,venuous disease,None,0,0,3,2,0,0
73,microsoft/Phi-4-mini-instruct,RAG_500,18.ten,0,case_studies,lower extremity arterial disease,None,1,0,5,1,0,1
74,microsoft/Phi-4-mini-instruct,RAG_500,52,1,racs,other,None,0,0,4,4,0,0
75,microsoft/Phi-4-mini-instruct,RAG_500,14.3,0,case_studies,lower extremity arterial disease,None,0,0,4,2,0,0
76,microsoft/Phi-4-mini-instruct,RAG_500,17,0,racs,aortic disorders,None,0,0,4,3,0,0
77,microsoft/Phi-4-mini-instruct,RAG_500,32.8,1,case_studies,aortic disorders,None,0,1,5,1,0,1
78,microsoft/Phi-4-mini-instruct,RAG_500,56.9,1,case_studies,venuous disease,None,1,0,5,1,0,1
79,microsoft/Phi-4-mini-instruct,RAG_500,16,1,racs,other,None,0,0,4,4,0,0
80,microsoft/Phi-4-mini-instruct,RAG_500,45.5,1,case_studies,lower extremity arterial disease,None,0,0,5,1,0,1
81,microsoft/Phi-4-mini-instruct,RAG_500,46.1,1,case_studies,other,None,1,0,4,1,0,1
82,microsoft/Phi-4-mini-instruct,RAG_500,36.1,0,case_studies,aortic disorders,None,1,0,5,2,0,0
83,microsoft/Phi-4-mini-instruct,RAG_500,37.2,1,case_studies,aortic disorders,None,1,1,4,1,0,1
84,microsoft/Phi-4-mini-instruct,RAG_500,415,0,case_studies,aortic disorders,None,0,0,5,1,0,1
85,microsoft/Phi-4-mini-instruct,RAG_500,55.4,0,case_studies,aortic disorders,None,0,0,6,1,0,1
86,microsoft/Phi-4-mini-instruct,RAG_500,26,0,racs,other,None,0,0,4,3,0,0
87,microsoft/Phi-4-mini-instruct,RAG_500,10a,0,apdvs,lower extremity arterial disease, lq,1,0,4,1,1,1
88,microsoft/Phi-4-mini-instruct,RAG_500,42.5,1,case_studies,aortic disorders,None,1,0,5,1,0,1
89,microsoft/Phi-4-mini-instruct,RAG_500,47.7,0,case_studies,venuous disease,None,1,0,4,1,0,1
90,microsoft/Phi-4-mini-instruct,RAG_500,43.9,0,case_studies,venuous disease,None,1,0,6,1,0,1
91,microsoft/Phi-4-mini-instruct,RAG_500,34.5,0,case_studies,carotid disorders,None,1,1,2,1,0,1
92,microsoft/Phi-4-mini-instruct,RAG_500,35.4,1,case_studies,carotid disorders,None,0,0,5,1,0,1
93,microsoft/Phi-4-mini-instruct,RAG_500,68,1,abvm,lower extremity arterial disease,None,0,0,4,3,0,0
94,microsoft/Phi-4-mini-instruct,RAG_500,31.3,0,case_studies,aortic disorders,None,1,0,4,4,0,0
95,microsoft/Phi-4-mini-instruct,RAG_500,49.4,1,case_studies,venuous disease,None,1,1,4,1,0,1
